"","AIC","BIC"
"1",24989.6587461016,25002.4401911563
"2",24933.2882583402,24952.4604259223
"3",24801.4788875007,24833.4325001375
"4",24580.102611061,24618.4469462251
"5",24508.5212614673,24553.2563191588
"6",24510.5066528873,24561.6324331062
"7",24509.318350513,24560.4441307319
"8",24471.9048264738,24523.0306066927
"9",24449.7210165767,24507.237519323
"10",24449.679244339,24513.5864696126
"11",24781.702102277,24820.0464374412
